timestamp,action,position_id,strategy,underlying,premium,commission,cash_after,nav_after,close_value,realized_pnl,reason
2024-10-21T16:00:00,OPEN,f62e4bd1,VLO_EARNINGS_CALL_SPREAD,VLO,-471.99999999999983,1.3,10470.7,10470.7,,,
2024-10-23T16:00:00,CLOSE,f62e4bd1,VLO_EARNINGS_CALL_SPREAD,VLO,,1.3,10754.400000000001,10754.400000000001,285.0,-189.59999999999982,STOP_LOSS
2024-10-25T16:00:00,OPEN,bba70141,MSFT_EARNINGS_CALL_SPREAD,MSFT,-166.0,2.6,10917.800000000001,10917.800000000001,,,
2024-10-25T16:00:00,OPEN,41cc16f0,AMD_EARNINGS_CALL_SPREAD,AMD,-477.0,1.3,11393.500000000002,11393.500000000002,,,
2024-10-25T16:00:00,OPEN,96952973,MPC_EARNINGS_CALL_SPREAD,MPC,-477.0000000000001,1.3,11869.200000000003,11869.200000000003,,,
2024-10-29T16:00:00,CLOSE,41cc16f0,AMD_EARNINGS_CALL_SPREAD,AMD,,1.3,12349.900000000003,12799.900000000003,482.0,2.4,TAKE_PROFIT
2024-11-01T16:00:00,OPEN,10a95238,KRE_BANKS_CALL_SPREAD,KRE,-283.0,1.3,12631.600000000004,12697.600000000004,,,
2024-11-06T16:00:00,CLOSE,10a95238,KRE_BANKS_CALL_SPREAD,KRE,,1.3,12918.300000000005,13431.300000000005,288.0,2.4,TAKE_PROFIT
2024-11-08T16:00:00,CLOSE,bba70141,MSFT_EARNINGS_CALL_SPREAD,MSFT,,2.6,12915.700000000004,13403.700000000004,0.0,-171.2,TIME_STOP
2024-11-15T16:00:00,CLOSE,96952973,MPC_EARNINGS_CALL_SPREAD,MPC,,1.3,13414.400000000005,13414.400000000005,499.9999999999999,20.39999999999977,TIME_STOP
